include,name,suggested_category,longitude,latitude,address,website,source,source_id,reason
,Academy of American Poets,,-74.007758,40.707657,"75 Maiden Ln, New York, 10038",,NYC DCLA,dcla-row-27,Requires manual review
,"Academy of Bosnia and Herzegovina, Inc.",,-73.905506,40.757194,"55-23 31st Avenue, Woodside, 11377",,NYC DCLA,dcla-row-28,Requires manual review
,Access Theater,,-74.002958,40.718112,"380 Broadway Fourth Floor, New York, 10013",,NYC DCLA,dcla-row-29,Requires manual review
,Accurate Electrical Contractors Corp.,,-74.1176009,40.5728212,,,OpenStreetMap,node/13128789596,Requires manual review
,Ace Digital Printing,,-73.906603,40.7420583,58-25 Queens Boulevard,,OpenStreetMap,node/10805485473,OpenStreetMap craft/workshop tag
,"ACMP Associated Chamber Music Players, Inc.",,-73.989073,40.743523,"1133 Broadway, Suite 810, New York, 10010",,NYC DCLA,dcla-row-30,Requires manual review
,ACTIONPLAY INCORPORATED,,-73.970359,40.690694,"227 Clermont Ave. #3, Brooklyn, 11205",,NYC DCLA,dcla-row-31,Requires manual review
,"Actors Center, Inc.",,-73.992417,40.753612,"520 8th Avenue, New York, 10018",,NYC DCLA,dcla-row-33,Requires manual review
,Actors Company Theatre,,-73.989773,40.739109,"900 Broadway, Suite 905, New York, 10003",,NYC DCLA,dcla-row-34,Requires manual review
,"Actors Theatre Workshop, Inc.",,-73.991829,40.746602,"145 West 28th Street, New York, 10001",,NYC DCLA,dcla-row-35,Requires manual review
,Actors' Fund of America,,-73.983973,40.760103,"729 7th Ave, New York, 10019",,NYC DCLA,dcla-row-32,Requires manual review
,Adams Street Library,,-73.988277,40.7043774,9 Adams Street,https://www.bklynlibrary.org/locations/adams-street,OpenStreetMap,node/9633577330,Requires manual review
,ADAPT Community Network,,-74.1356103,40.6344478,,,OpenStreetMap,node/12988608487,Requires manual review
,Ador Graphics,,-73.9794956,40.6419205,,,OpenStreetMap,node/9740077043,Requires manual review
,ADP,,-73.8368197,40.5795363,,,OpenStreetMap,node/7194158061,Requires manual review
,Advanced Plumbing,,-74.0184003,40.650128,123 50th Street,https://www.advanced-plumbing-nyc.com,OpenStreetMap,node/9802461600,Requires manual review
,Advanced Shoe Repair,,-73.9662266,40.7541167,893 1st Avenue,,OpenStreetMap,node/5395640218,Requires manual review
,Advani Pest Control,,-73.8783457,40.7366202,85-12 Queens Boulevard,,OpenStreetMap,node/11512186838,Requires manual review
,Advantage Cleaning LLC,,-73.9919721,40.7459943,121 West 27th Street,https://advantagecleaningllc.net/,OpenStreetMap,node/12035557925,Requires manual review
,AENY - SPANISH ARTISTS IN NEW YORK INC.,,-74.000873,40.739066,"239 West 14th St, New York, 10011",,NYC DCLA,dcla-row-36,Requires manual review
,"AFC New York, Inc.",,-73.986587,40.704313,"20 Jay Street, Brooklyn, 11201",,NYC DCLA,dcla-row-37,Requires manual review
,African American Women In Cinema,,-73.857136,40.833615,"2006 Westchester Avenue, Parkchester, 10462",,NYC DCLA,dcla-row-38,Requires manual review
,"African Cultural Center, Inc.",,-73.983516,40.755651,"1120 Avenue of the Americas, New York City, 10036",,NYC DCLA,dcla-row-39,Requires manual review
,African Cultural Community,,-74.0861237,40.6458165,74B Westervelt Avenue,,OpenStreetMap,node/13057029094,Requires manual review
,African Diaspora Film Festival,,-73.965797,40.803795,"535 Cathedral Parkway St 14B, New York, 10025",,NYC DCLA,dcla-row-40,Requires manual review
,"African Film Festival, Inc.",,-73.996547,40.740493,"154 West 18th Street, Suite 2A, New York, 10011",,NYC DCLA,dcla-row-41,Requires manual review
,"African Peach Arts Coalition Inc, (APAC)",,-73.917329,40.677353,"15 Louis Pl, Brooklyn, 11233",,NYC DCLA,dcla-row-42,Requires manual review
,"African Services Committee, Inc.",,-73.953849,40.813002,"429 W 127th Street, New York, 10027",,NYC DCLA,dcla-row-43,Requires manual review
,"African Voices Communications, Inc.",,-73.962568,40.688594,"325 Lafayette Avenue, CF Suite, Brooklyn, 11238",,NYC DCLA,dcla-row-44,Requires manual review
,Afrikan Poetry Theatre,,-73.7841179,40.7081459,176-03 Jamaica Avenue,https://www.theafrikanpoetrytheatre.org,OpenStreetMap,way/248592805,OpenStreetMap arts-centre tag
,"Afrikan Poetry Theatre, Inc.",,-73.784233,40.707941,"176-03 Jamaica Ave., Jamaica, 11432",,NYC DCLA,dcla-row-45,Requires manual review
,Afrikart,,-73.9818385,40.6882527,295 Livingston Street,https://afrikartonline.com/,OpenStreetMap,node/2550005810,Requires manual review
,Afro Brazil Arts,,-73.986122,40.718943,"107 Suffolk Street #307, New York, 10002",,NYC DCLA,dcla-row-47,Requires manual review
,"Afro-Asian, Inc.",,-73.986122,40.718943,"107 Suffolk Street #213-A, New York,  NY, 10002",,NYC DCLA,dcla-row-46,Requires manual review
,Afro-Heritage Venture,,-73.860358,40.667414,"901 Drew Street suite 222, Brooklyn, 11208",,NYC DCLA,dcla-row-48,Requires manual review
,"Afro-Latin Jazz Alliance of New York, Inc.",,-73.947537,40.786963,"215 East 99th Street, New York, 10029",,NYC DCLA,dcla-row-49,Requires manual review
,"Afrolatin Project, Inc.",,-73.877046,40.644788,"11325 Seaview Ave, Brooklyn, 11239",,NYC DCLA,dcla-row-50,Requires manual review
,"After School Rocks, Inc.",,-73.781866,40.728972,"187-08 Union Turnpike, Fresh Meadows, 11366",,NYC DCLA,dcla-row-51,Requires manual review
,Agi Sewer & Drains,,-73.9731124,40.6083826,1818 McDonald Avenue,,OpenStreetMap,node/13588247610,Requires manual review
,"AGM Theater Company, Inc.",,-73.949425,40.802359,"130 Malcolm X Blvd, New York, 10026",,NYC DCLA,dcla-row-53,Requires manual review
,Agora Gallery,,-74.0046681,40.7494529,530 West 25th Street,https://agora-gallery.com/,OpenStreetMap,node/11340692126,Requires manual review
,Agra Heights,,-73.9214323,40.6980672,226 Wilson Avenue,https://agraheightsbrooklynnyc.com/,OpenStreetMap,node/5455609330,Requires manual review
,"Agudath Israel of America Community Services, Inc.",,-74.012909,40.70627,"42 Broadway, 14th Floor, New York, 10004",,NYC DCLA,dcla-row-54,Requires manual review
,Aguilar Library,,-73.943463,40.7941736,174 East 110th Street,https://www.nypl.org/locations/aguilar,OpenStreetMap,way/271277515,Requires manual review
,AHHABROADWAY INC,,-73.931531,40.858811,"4558 Broadway, Unit 736, New York, 10040",,NYC DCLA,dcla-row-55,Requires manual review
,"AHL Foundation, Inc.",,-73.94482,40.81888,"2605 Frederick Douglass Blvd, New York, 10030",,NYC DCLA,dcla-row-56,Requires manual review
,"Aims of Modzawe, Inc.",,-73.767423,40.695966,"187-40 Quencer Road, St. Albans, 11412",,NYC DCLA,dcla-row-57,Requires manual review
,Air Tin Supply Inc.,,-74.1509544,40.6368262,,,OpenStreetMap,node/13188809581,Requires manual review
,Air-Care & Chimney Cleaning,,-73.9562841,40.5822089,10 Brighton 11th Street,,OpenStreetMap,node/10590328167,Requires manual review
,AJ Iron Work,,-73.98348,40.6814727,,,OpenStreetMap,node/10128431419,Requires manual review
,AJ Plumbling Supplies,,-73.9931046,40.7175558,,,OpenStreetMap,node/7891022306,OpenStreetMap craft/workshop tag
,"Aks Chorale, Inc.",,-73.964949,40.810012,"456 Riverside Drive Apt 7B, New York, 10027",,NYC DCLA,dcla-row-58,Requires manual review
,"AKTINA Productions, Inc.",,-73.926599,40.771024,"21-02 28th Avenue, Astoria, 11102",,NYC DCLA,dcla-row-59,Requires manual review
,Aladdin Plumbing,,-73.9983198,40.6742652,,https://www.aladdinplumbingcorp.com,OpenStreetMap,node/11288747756,Requires manual review
,"Alarm Will Sound, Inc.",,-73.970246,40.749294,"45 Tudor City Pl, New York, 10017",,NYC DCLA,dcla-row-60,Requires manual review
,"Alba Windows and Doors, Corp",,-73.9074631,40.7075321,576 Fairview Avenue,,OpenStreetMap,node/5373514306,Requires manual review
,Alba Wood Works,,-73.8970082,40.7126506,,,OpenStreetMap,node/9349745711,Requires manual review
,Albanian Artists Association,,-73.947936,40.788786,"169 east 101st street, New York, 10029",,NYC DCLA,dcla-row-61,Requires manual review
,Albanian Community Center,,-74.0963225,40.5742481,,,OpenStreetMap,node/13128356507,Requires manual review
,Albert Einstein College of Medicine,,-73.8466832,40.8527336,,http://www.einstein.yu.edu/,OpenStreetMap,relation/16033895,Requires manual review
,Albertz Benda Gallery,,-74.0035864,40.7500552,515 West 26th Street,https://www.albertzbenda.com/,OpenStreetMap,node/10861434354,Requires manual review
,Alchemy Theatre Company of Manhattan,,-73.993254,40.758682,"412 W. 42nd Street, New York, 10036",,NYC DCLA,dcla-row-62,Requires manual review
,Alex Figliola Water & Sewer,,-73.9901281,40.6737005,193 6th Street,https://alexfigliolia.com,OpenStreetMap,node/8199446541,Requires manual review
,Alex Figliola Water & Sewer,,-73.9574791,40.6781133,,https://alexfigliolia.com,OpenStreetMap,node/9440738951,Requires manual review
,Alex Shoe Repair Watch Repair,,-73.9791157,40.7239793,99-103 Avenue C,,OpenStreetMap,node/2567533490,Requires manual review
,Alexander & Sons Upholstery,,-73.9543591,40.7720208,334 East 78th Street,https://www.alexanderandsonsupholstery.com,OpenStreetMap,node/6691104528,Requires manual review
,Alexander and Bonin,,-74.0036388,40.7190232,47 Walker Street,,OpenStreetMap,node/6261902489,Requires manual review
,Alexander and Buono Worldwide Inc,,-73.981247,40.750131,"244 Madison Ave, New York City, 10016",,NYC DCLA,dcla-row-63,Requires manual review
,Alexander Gray Associates Gallery,,-74.0036422,40.7497859,510 West 26th Street,https://alexandergray.com,OpenStreetMap,node/10861434363,Requires manual review
,"Alianza Dominicana, Inc.",,-73.93159,40.847177,"2410 Amsterdam Ave, New York, 10033",,NYC DCLA,dcla-row-64,Requires manual review
,Alice Austen House,,-74.0630286,40.6151272,2 Hylan Boulevard,https://aliceausten.org/,OpenStreetMap,way/244060305,Requires manual review
,Alice Tully Hall,,-73.9825787,40.773503,1941 Broadway,https://www.lincolncenter.org/venue/alice-tully-hall,OpenStreetMap,node/368053954,OpenStreetMap arts-centre tag
,"Alison Cook Beatty Dance, Inc.",,-73.946792,40.774905,"529 E 85th St, New York, 10028",,NYC DCLA,dcla-row-65,Requires manual review
,"Alkemie Early Music Ensemble, Inc.",,-73.956079,40.653121,"2101 Bedford Ave, Brooklyn, 11226",,NYC DCLA,dcla-row-66,Requires manual review
,All City Iron Works,,-73.9871045,40.6772619,,,OpenStreetMap,node/6446540514,Requires manual review
,"All Faiths Restoration & Beautification Program, Inc",,-73.889067,40.712297,"67-29 Metropolitan Avenue, Queens, 11731",,NYC DCLA,dcla-row-68,Requires manual review
,"All For One Theater Festival, Inc.",,-73.983684,40.761964,"1650 Broadway, New York, 10019",,NYC DCLA,dcla-row-69,Requires manual review
,"All Out Arts, Inc.",,-73.958385,40.763816,"404 East 66th Street apt 11g, New York, 10065",,NYC DCLA,dcla-row-76,Requires manual review
,All Pro Plumbing and Heating,,-73.9048551,40.7105837,63-03 Forest Avenue,,OpenStreetMap,node/5373443078,Requires manual review
,All Pro Sewer & Drain Services,,-74.1965583,40.5855613,"472 Wild Ave, Staten Island",https://cleanstatenislandsewage.com/,OpenStreetMap,node/13604174883,Requires manual review
,All Star Locksmith & Hardware,,-73.9630916,40.6751531,725 Washington Avenue,,OpenStreetMap,node/2568918235,OpenStreetMap craft/workshop tag
,All Street Gallery,,-73.9883259,40.725038,,https://allstnyc.com,OpenStreetMap,node/12088942774,Requires manual review
,All United Window Corporation,,-73.961582,40.6974769,97 Classon Avenue,,OpenStreetMap,way/250351782,Requires manual review
,Alladin Bakers,,-73.9965864,40.6590463,240 25th Street,https://www.aladdinbakers.com,OpenStreetMap,way/736833336,Requires manual review
,Allboro,,-73.9961916,40.663302,157 21st Street,http://allboro.net,OpenStreetMap,way/248241035,Requires manual review
,Allen Tailor & Cleaning,,-73.9893906,40.720582,150 Allen Street,,OpenStreetMap,node/2555126623,Requires manual review
,Allerton Library,,-73.8632084,40.8667997,2740 Barnes Avenue,https://www.nypl.org/locations/allerton,OpenStreetMap,way/281707541,Requires manual review
,"Alley Pond Environmental Center, Inc.",,-73.752373,40.763261,"229-10 Northern Blvd, Douglaston, 11362",,NYC DCLA,dcla-row-67,Requires manual review
,Alliance for Inclusion in the Arts,,-73.984843,40.75886,"1560 Broadway, Suite 1600, New York, 10036",,NYC DCLA,dcla-row-70,Requires manual review
,"Alliance for the Development of Theatre Artists, Inc.",,-73.992417,40.753612,"520 Eighth Ave, New York, 10018",,NYC DCLA,dcla-row-71,Requires manual review
,"Alliance for Young Artists and Writers, Inc.",,-73.998138,40.723835,"557 Broadway, New York, 10012",,NYC DCLA,dcla-row-72,Requires manual review
,"Alliance of Queens Artists, Inc.",,-73.853439,40.71086,"99-10 Metropolitan Avenue, Forest Hills, 11375",,NYC DCLA,dcla-row-73,Requires manual review
,"Alliance of Resident Theatres / New York, Inc.",,-73.992417,40.753612,"520 8th Avenue, New York, 10018",,NYC DCLA,dcla-row-74,Requires manual review
,"Allied Productions, Inc.",,-73.977549,40.724319,"368 E 8th St SFW, New York, 10009",,NYC DCLA,dcla-row-75,Requires manual review
,Allouche Gallery,,-74.0003875,40.7227411,,https://allouchegallery.com,OpenStreetMap,node/10784508205,Requires manual review
,Allstar Fabrication,,-73.8416793,40.6870141,97-12 102nd Street,,OpenStreetMap,way/282273440,Requires manual review
,"Alpha Omega 1-7 Theatrical Dance Company, Inc.",,-73.990331,40.726563,"70 East 4th Street, New York, 10003",,NYC DCLA,dcla-row-77,Requires manual review
,"Alpha Workshops, Inc.",,-73.987079,40.676204,"322 3rd Avenue, Brooklyn, 11215",,NYC DCLA,dcla-row-78,DCLA Architecture/Design discipline
,Alter Phase Roofing,,-74.07987,40.591521,61 Appleby Avenue,https://alterphaseroofing.com,OpenStreetMap,node/11858265878,Requires manual review
,Alteration Concept,,-74.0074559,40.7350364,129 Perry Street,,OpenStreetMap,node/6121758850,Requires manual review
,Alul Bayt Islamic Library,,-73.9794043,40.6849938,,,OpenStreetMap,node/5891517722,Requires manual review
,Alwan Foundation,,-74.012375,40.704983,"16 Beaver Street, New York, 10004",,NYC DCLA,dcla-row-80,Requires manual review
,AM:PM Gallery,,-73.9565553,40.7107596,108 Marcy Avenue,https://ampmgallery.com/,OpenStreetMap,node/10716466801,Requires manual review
,"Amanda & James, Incorporated",,-73.999906,40.723058,"94 Mercer Street, New York, 10012",,NYC DCLA,dcla-row-81,Requires manual review
,Amanita,,-73.9919779,40.7251309,313 Bowery,,OpenStreetMap,node/8076261683,Requires manual review
,Amant,,-73.9369874,40.7122306,315 Maujer Street,https://www.amant.org/,OpenStreetMap,node/12269996789,Requires manual review
,Amant,,-73.9368193,40.7118522,306 Maujer Street,https://www.amant.org/,OpenStreetMap,node/12847512614,Requires manual review
,"Amas Musical Theatre, Inc.",,-73.991449,40.760038,"630 Ninth Avenue, New York, 10036",,NYC DCLA,dcla-row-82,Requires manual review
,"Amaterasu Za, Inc.",,-74.009718,40.71641,"139 Reade Street, New York, 10013",,NYC DCLA,dcla-row-83,Requires manual review
,Amaya's Bookreads Inc.,,-73.923027,40.863263,"569 Academy St, New York, 10034",,NYC DCLA,dcla-row-84,Requires manual review
,Ambiance Style,,-73.9784374,40.5756595,1015 Surf Avenue,https://ambiancestyle.com/,OpenStreetMap,node/9811756180,Requires manual review
,America SCORES New York,,-73.992417,40.753612,"520 8th Avenue, New York, 10031",,NYC DCLA,dcla-row-123,Requires manual review
,American Academy of Dramatic Arts,,-73.9847757,40.7455156,120 Madison Avenue,https://www.aada.edu/campuses/new-york-campus-overview,OpenStreetMap,node/3356089621,Design-related college or university
,American Academy of Dramatic Arts,,-73.984691,40.745402,"120 Madison Ave, New York, 7307",,NYC DCLA,dcla-row-85,Requires manual review
,American Bard Theater Company,,-73.987402,40.743909,"4 E 27th Street, Unit 20077, New York, 10001",,NYC DCLA,dcla-row-86,Requires manual review
,"American Bolero Dance Company, Inc.",,-73.948837,40.753508,"42-24 9th Street, Long Island City, 11101",,NYC DCLA,dcla-row-87,Requires manual review
,"American Center for Musical Arts, Inc.",,-73.982412,40.778954,"201 West 72nd Street, Suite 3 K, New York, 10023",,NYC DCLA,dcla-row-88,Requires manual review
,American Civil Liberties Union,,-74.0107645,40.7023065,125 Broad Street,,OpenStreetMap,node/5455437321,Requires manual review
,"American Classical Orchestra, Inc.",,-73.977494,40.789358,"552 West End Avenue, New York, 10024",,NYC DCLA,dcla-row-89,Requires manual review
,American Composers Orchestra,,-73.987427,40.744521,"244 Fifth Avenue, Suite 1257, New York, 10001",,NYC DCLA,dcla-row-90,Requires manual review
,"American Dance Guild, Inc.",,-73.98012,40.78727,"320 West 83rd Street, Apt. 7D, New York, 10024",,NYC DCLA,dcla-row-91,Requires manual review
,"American Dance Machine for the 21st Century Foundation, Inc.",,-73.961258,40.776857,"45 East 80th Street, New York, 10075",,NYC DCLA,dcla-row-92,Requires manual review
,American Documentary,,-73.986587,40.704313,"20 Jay Street, Brooklyn, 11201",,NYC DCLA,dcla-row-93,Requires manual review
,"American Federation of Arts, Inc.",,-73.969548,40.752862,"305 East 47th Street, New York, 10017",,NYC DCLA,dcla-row-94,Design-related name in DCLA Visual Arts discipline
,American Federation of the Arts,,-73.9691129,40.7527797,305 East 47th Street,,OpenStreetMap,node/2711639369,Design-related community or association
,American Folk Art Museum,,-73.9815958,40.7732296,2 Lincoln Square,http://www.folkartmuseum.org,OpenStreetMap,node/3224793125,Design-related museum or gallery
,American Folk Art Museum,,-73.980154,40.773003,"2 Lincoln Square, New York, 10023",,NYC DCLA,dcla-row-95,Design-related name in DCLA Museum discipline
,"American Friends of Chicken Shed, Inc.",,-73.986753,40.754707,"1441 Broadway, New York, 10018",,NYC DCLA,dcla-row-96,Requires manual review
,American Friends of the Ludwig Foundation of Cuba,,-73.980932,40.754371,"4 West 43rd Street, New York, 10036",,NYC DCLA,dcla-row-97,Requires manual review
